cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
0,2870,-22.85560880686411,-45.95998999425435,123,3175,8.508458263138065,17,4,Reação tardia ou ineficiente do condutor,322.7937932268476,0.02754402335331559,baixo,0.016130646973773033
1,36,-23.186113301388886,-50.627503581111114,1,50,9.296296296296298,16,6,Reação tardia ou ineficiente do condutor,12.801276045531342,0.21835032058796428,baixo,0.12787281991578198
2,6634,-26.74097754245202,-48.939493124360865,304,7268,8.830562479403195,18,4,Reação tardia ou ineficiente do condutor,287.9967473703627,0.07998251669868325,baixo,0.046840279083086925
3,31,-16.466369557419355,-43.439319973548386,7,45,18.37227109807755,4,0,Velocidade Incompatível,9.157267551825392,0.36532672712139524,baixo,0.21394682939701257
4,157,-21.114496858598727,-42.36187095063694,8,214,10.193812556869881,18,4,Velocidade Incompatível,24.22158364183686,0.2671498668729986,baixo,0.15645137009732002
5,1549,-19.87143189210458,-44.268961452123946,73,1809,9.528407723760534,7,6,Ausência de reação do condutor,94.4995677397491,0.17343755569803634,baixo,0.10157049124859806
6,30,-6.813208944333334,-38.29908872866667,4,32,20.494444444444447,18,5,Acessar a via sem observar a presença dos outros veículos,12.009540465303735,0.20657022463735772,medio,0.12097402496999805
7,70,-25.341239397571428,-53.586452730714285,2,79,8.67687074829932,15,0,Reação tardia ou ineficiente do condutor,26.687354111579037,0.0981471404982753,baixo,0.05747805447864636
8,4878,-22.45427007607212,-43.51160572828464,279,5821,9.670249967670179,18,6,Ausência de reação do condutor,277.0421329876777,0.06355423465239268,baixo,0.03721936006646157
9,175,-11.902500011028572,-55.50001221485714,4,191,7.430544217687075,18,5,Reação tardia ou ineficiente do condutor,30.251480336674426,0.19101632485655287,baixo,0.11186517172763367
10,1085,-8.033370686617511,-35.03282220865438,79,1182,11.118232688970016,7,4,Ausência de reação do condutor,86.25340149228032,0.1458206079571732,baixo,0.08539713745831462
11,1218,-20.298169642963057,-40.48202062360197,71,1466,10.422523345806452,7,4,Reação tardia ou ineficiente do condutor,106.18814595678782,0.10800819258032221,baixo,0.06325299693658401
