date,accident_count,deaths,injuries,risk_score,day_of_week,day_of_month,month,year,risk_category
2025-01-01,193,14,224,104.16409989865969,quarta-feira,1,1,2025,extremo
2025-01-02,160,8,242,103.94010625490496,quinta-feira,2,1,2025,extremo
2025-01-03,179,20,262,105.8137737191673,sexta-feira,3,1,2025,extremo
2025-01-04,179,15,241,108.89885372304829,sábado,4,1,2025,extremo
2025-01-05,164,15,204,107.90801013170481,domingo,5,1,2025,extremo
2025-01-06,173,9,223,103.68997869791696,segunda-feira,6,1,2025,extremo
2025-01-07,146,17,208,105.3276459897106,terça-feira,7,1,2025,extremo
2025-01-08,158,18,192,102.61516664839634,quarta-feira,8,1,2025,extremo
2025-01-09,165,8,207,103.93491776562715,quinta-feira,9,1,2025,extremo
2025-01-10,183,15,247,105.61524134942094,sexta-feira,10,1,2025,extremo
2025-01-11,192,14,255,109.20632182386095,sábado,11,1,2025,extremo
2025-01-12,200,21,259,106.49480051673356,domingo,12,1,2025,extremo
2025-01-13,182,13,224,105.69409975460897,segunda-feira,13,1,2025,extremo
2025-01-14,175,10,220,102.2858624928713,terça-feira,14,1,2025,extremo
2025-01-15,186,11,219,104.27963024979233,quarta-feira,15,1,2025,extremo
2025-01-16,155,6,211,106.22527521213708,quinta-feira,16,1,2025,extremo
2025-01-17,192,14,209,112.55703160254563,sexta-feira,17,1,2025,extremo
2025-01-18,183,12,238,106.71026211692859,sábado,18,1,2025,extremo
2025-01-19,203,11,247,106.09105804226652,domingo,19,1,2025,extremo
2025-01-20,206,14,240,102.05448184579173,segunda-feira,20,1,2025,extremo
2025-01-21,168,11,208,102.99154747499117,terça-feira,21,1,2025,extremo
2025-01-22,173,12,246,104.302214408668,quarta-feira,22,1,2025,extremo
2025-01-23,165,11,204,102.77432599009985,quinta-feira,23,1,2025,extremo
2025-01-24,174,16,194,110.08081758578422,sexta-feira,24,1,2025,extremo
2025-01-25,208,19,239,107.42197794179366,sábado,25,1,2025,extremo
2025-01-26,228,25,285,107.712738315086,domingo,26,1,2025,extremo
2025-01-27,185,15,226,103.53502293318515,segunda-feira,27,1,2025,extremo
2025-01-28,150,10,170,103.13841662600018,terça-feira,28,1,2025,extremo
2025-01-29,146,14,169,102.80296543981476,quarta-feira,29,1,2025,extremo
2025-01-30,166,12,177,104.91252323140995,quinta-feira,30,1,2025,extremo
2025-01-31,188,8,222,108.98040310279232,sexta-feira,31,1,2025,extremo
2025-02-01,187,21,242,105.7370082040939,sábado,1,2,2025,extremo
2025-02-02,220,27,247,109.74158598038179,domingo,2,2,2025,extremo
2025-02-03,176,11,204,101.56364504884426,segunda-feira,3,2,2025,extremo
2025-02-04,156,14,177,100.70456282496228,terça-feira,4,2,2025,extremo
2025-02-05,165,12,195,103.4967449582478,quarta-feira,5,2,2025,extremo
2025-02-06,176,11,180,107.82298146520617,quinta-feira,6,2,2025,extremo
2025-02-07,199,16,215,104.88995049641157,sexta-feira,7,2,2025,extremo
2025-02-08,228,17,250,107.01281058753229,sábado,8,2,2025,extremo
2025-02-09,238,24,286,106.24881947802547,domingo,9,2,2025,extremo
2025-02-10,187,12,207,103.68845266097316,segunda-feira,10,2,2025,extremo
2025-02-11,171,9,166,101.58085551657658,terça-feira,11,2,2025,extremo
2025-02-12,171,11,215,104.99974002026721,quarta-feira,12,2,2025,extremo
2025-02-13,152,13,163,102.51588522534928,quinta-feira,13,2,2025,extremo
2025-02-14,197,10,223,104.90244907975105,sexta-feira,14,2,2025,extremo
2025-02-15,202,17,217,109.93407294785179,sábado,15,2,2025,extremo
2025-02-16,220,22,264,108.13512524468958,domingo,16,2,2025,extremo
2025-02-17,193,10,215,103.63432245690747,segunda-feira,17,2,2025,extremo
2025-02-18,167,10,200,101.38502730241893,terça-feira,18,2,2025,extremo
2025-02-19,161,8,208,101.93168070116012,quarta-feira,19,2,2025,extremo
2025-02-20,147,10,183,101.53759571183434,quinta-feira,20,2,2025,extremo
2025-02-21,168,14,179,112.23192404802519,sexta-feira,21,2,2025,extremo
2025-02-22,219,23,220,109.3587549409232,sábado,22,2,2025,extremo
2025-02-23,210,17,237,107.29112044051843,domingo,23,2,2025,extremo
2025-02-24,231,15,261,105.1311333030859,segunda-feira,24,2,2025,extremo
2025-02-25,161,15,188,105.54241964116369,terça-feira,25,2,2025,extremo
2025-02-26,189,10,192,108.48519186228472,quarta-feira,26,2,2025,extremo
2025-02-27,174,16,198,103.13625830133046,quinta-feira,27,2,2025,extremo
2025-02-28,219,17,236,106.19378677591459,sexta-feira,28,2,2025,extremo
2025-03-01,246,18,301,110.29015447507534,sábado,1,3,2025,extremo
2025-03-02,227,25,282,107.54852821573616,domingo,2,3,2025,extremo
2025-03-03,159,9,188,103.92298836177218,segunda-feira,3,3,2025,extremo
2025-03-04,167,4,214,102.93470193269503,terça-feira,4,3,2025,extremo
2025-03-05,172,12,212,105.83192175877971,quarta-feira,5,3,2025,extremo
2025-03-06,184,10,252,103.31291706702419,quinta-feira,6,3,2025,extremo
2025-03-07,207,10,254,105.10333444070726,sexta-feira,7,3,2025,extremo
2025-03-08,202,13,245,106.87730137065968,sábado,8,3,2025,extremo
