accident_count,deaths,risk_score,category,item_name,rank,vs_average_pct
4102,332,110.27430163767987,worst_hours,18h,1.0,-69.16542950031007
3600,258,107.68652372663314,worst_hours,17h,2.0,-72.93894349125213
3422,378,109.54277904771384,worst_hours,19h,3.0,-74.2769623964069
3396,157,104.12976712046624,worst_hours,7h,4.0,-74.47240336008119
2949,182,105.77744112670885,worst_hours,16h,5.0,-77.83248454325071
2756,132,102.96858831350748,worst_hours,8h,6.0,-79.28325785052525
2677,185,104.9536126519249,worst_hours,15h,7.0,-79.87709770168944
2485,173,104.57437233636738,worst_hours,14h,8.0,-81.32035404882265
2462,265,107.76137726876415,worst_hours,20h,9.0,-81.49324413207299
2350,243,105.07926152211503,worst_hours,6h,10.0,-82.3351436679007
8465,826,107.60294787194778,worst_days,sábado,1.0,-36.36893240373593
8404,878,108.09889085158021,worst_days,domingo,2.0,-36.827466972356376
8205,667,106.45700381732264,worst_days,sexta-feira,3.0,-38.32334204047883
7594,547,104.6932467877406,worst_days,segunda-feira,4.0,-42.91620468682465
6956,524,104.47556689458811,worst_days,quinta-feira,5.0,-47.712025256986074
6945,529,104.07388229810816,worst_days,quarta-feira,6.0,-47.79471181854058
6644,502,103.80481948775918,worst_days,terça-feira,7.0,-50.057316821077556
6987,568,118.5632042812302,worst_states,MG,1.0,-47.47899949260519
6001,341,113.45338848060247,worst_states,SC,2.0,-54.89072219194557
5595,453,111.70239391856316,worst_states,PR,3.0,-57.94260800932103
4637,257,107.59497331047794,worst_states,RJ,4.0,-65.14385582470449
3660,238,103.26587155513914,worst_states,RS,5.0,-72.48792588277301
3427,152,96.93016007312818,worst_states,SP,6.0,-74.23937759570029
3068,426,111.10811455346024,worst_states,BA,7.0,-76.93796628643376
2325,224,98.20326329633863,worst_states,GO,8.0,-82.52306767143367
2152,240,101.11290505537727,worst_states,PE,9.0,-83.82350177588184
1952,114,96.75806790091961,worst_states,ES,10.0,-85.3268938041456
9477,559,103.42570400928187,worst_highways,BR-101,1.0,-28.76176874072125
8129,511,105.67606149326005,worst_highways,BR-116,2.0,-38.89463101121906
2559,153,107.83511847924336,worst_highways,BR-40,3.0,-80.76409899836506
2476,131,108.72142267280822,worst_highways,BR-381,4.0,-81.38800669009453
2107,209,103.63858266997583,worst_highways,BR-153,5.0,-84.16176498224118
1866,162,101.05202538397653,worst_highways,BR-163,6.0,-85.97335237629903
1638,131,93.40095119919314,worst_highways,BR-364,7.0,-87.68721928851973
1568,124,110.46984892803307,worst_highways,BR-277,8.0,-88.21340649841204
1322,140,95.04976881153604,worst_highways,BR-230,9.0,-90.06257869317648
1280,85,105.20706925614085,worst_highways,BR-376,10.0,-90.37829101911187
