accident_count,deaths,injuries,avg_severity,avg_risk_score,top_cause,top_accident_type,accidents_per_100km,location_type,location_name,fatality_rate,risk_rank
200,18,220,12.114305555555557,95.63132490914057,Reação tardia ou ineficiente do condutor,Colisão traseira,state,AC,,9.0,1.0
481,77,559,15.338177058765293,100.54013439462159,Velocidade Incompatível,Colisão transversal,state,AL,,16.008316008316008,1.0
106,19,107,13.171945193171608,118.83258949914178,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,state,AM,,17.92452830188679,1.0
123,13,197,11.618337850045167,97.9168519096978,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,state,AP,,10.569105691056912,1.0
3068,426,3699,12.213417707734338,111.10811455346024,Reação tardia ou ineficiente do condutor,Colisão traseira,state,BA,,13.885267275097785,1.0
1043,129,1139,12.535949118416191,98.38616683338668,Ausência de reação do condutor,Colisão traseira,state,CE,,12.36816874400767,1.0
753,37,755,8.315199519382785,85.0437934188295,Ausência de reação do condutor,Colisão traseira,state,DF,,4.913678618857902,1.0
1952,114,2430,10.649485493169573,96.75806790091961,Ausência de reação do condutor,Colisão transversal,state,ES,,5.84016393442623,1.0
2325,224,2578,10.466821430347535,98.20326329633863,Reação tardia ou ineficiente do condutor,Colisão traseira,state,GO,,9.634408602150538,1.0
852,185,887,16.198947830990086,109.58414139712208,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,state,MA,,21.71361502347418,1.0
6987,568,8698,10.720219219658304,118.5632042812302,Ausência de reação do condutor,Saída de leito carroçável,state,MG,,8.12938314011736,1.0
1221,110,1278,10.671936546936546,96.97532680327502,Ausência de reação do condutor,Saída de leito carroçável,state,MS,,9.00900900900901,1.0
1947,182,2081,10.023318092752092,99.18807515078893,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,state,MT,,9.347714432460196,1.0
793,162,873,14.547862329149815,107.31234102361914,Ausência de reação do condutor,Colisão traseira,state,PA,,20.42875157629256,1.0
1509,108,1773,12.168655790126962,93.53004870153705,Ausência de reação do condutor,Colisão traseira,state,PB,,7.157057654075547,1.0
2152,240,2398,13.092539542712434,101.11290505537727,Ausência de reação do condutor,Colisão traseira,state,PE,,11.152416356877323,1.0
1097,129,1246,13.357521013797662,97.78682153772675,Ausência de reação do condutor,Colisão transversal,state,PI,,11.759343664539653,1.0
5595,453,6212,9.495410242503546,111.70239391856316,Reação tardia ou ineficiente do condutor,Colisão traseira,state,PR,,8.096514745308312,1.0
4637,257,5521,9.561524235235687,107.59497331047794,Ausência de reação do condutor,Colisão traseira,state,RJ,,5.542376536553807,1.0
1182,83,1364,11.371876584813283,92.8211606538306,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,state,RN,,7.021996615905245,1.0
1077,75,1240,9.539214602585076,92.97901346094373,Reação tardia ou ineficiente do condutor,Colisão transversal,state,RO,,6.963788300835655,1.0
111,23,156,14.371670244219263,107.1558794479052,Ingestão de álcool pelo condutor,Saída de leito carroçável,state,RR,,20.72072072072072,1.0
3660,238,4134,8.88748965975911,103.26587155513914,Ausência de reação do condutor,Colisão transversal,state,RS,,6.502732240437159,1.0
6001,341,6867,9.542360053814225,113.45338848060247,Reação tardia ou ineficiente do condutor,Colisão traseira,state,SC,,5.682386268955174,1.0
411,35,449,10.937303369785122,93.70856657067786,Ausência de reação do condutor,Colisão traseira,state,SE,,8.51581508515815,1.0
3427,152,3612,8.330693737959917,96.93016007312818,Reação tardia ou ineficiente do condutor,Colisão traseira,state,SP,,4.435366209512694,1.0
503,75,567,11.98506787180011,100.74635418272418,Ausência de reação do condutor,Colisão traseira,state,TO,,14.910536779324055,1.0
124,0,48,2.0904377880184333,566.4009748293255,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-0,12400.0,0.0,1.0
340,65,416,15.49791908633372,107.50278972370384,Ausência de reação do condutor,Colisão transversal,highway,BR-10,149.7797356828194,19.11764705882353,1.0
517,51,523,9.916428174326768,91.49339923009217,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-20,160.55900621118013,9.864603481624759,1.0
3,1,3,50.0,122.21478694332438,Ausência de reação do condutor,Capotamento,highway,BR-30,100.0,33.33333333333333,1.0
2559,153,3065,9.821771260263446,107.83511847924336,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-40,206.53753026634382,5.978898007033997,1.0
569,32,576,9.429059614472619,106.39496593796729,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-50,163.50574712643677,5.623901581722319,1.0
753,55,827,11.064533352879966,89.33859934359502,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-60,153.98773006134968,7.3041168658698545,1.0
812,62,898,9.8720873406834,94.90584651451458,Ausência de reação do condutor,Colisão traseira,highway,BR-70,221.85792349726773,7.635467980295567,1.0
103,15,112,12.539644012944983,101.12671609008162,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-80,132.05128205128204,14.563106796116504,1.0
9477,559,10978,10.086395558920264,103.42570400928187,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-101,339.6774193548387,5.8984910836762685,1.0
380,50,398,14.970488721804513,99.65152180710521,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,highway,BR-104,145.59386973180077,13.157894736842104,1.0
251,40,340,14.507708297245799,108.51297101862417,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-110,135.67567567567568,15.936254980079681,1.0
8129,511,8959,9.195372114766293,105.67606149326005,Ausência de reação do condutor,Colisão traseira,highway,BR-116,316.1804745235317,6.286136056095461,1.0
382,74,405,13.28317959649238,105.66174282340266,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-135,156.55737704918033,19.3717277486911,1.0
43,3,56,11.459302325581396,121.16841029580615,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-146,116.21621621621621,6.976744186046512,1.0
2107,209,2373,10.269572202290435,103.63858266997583,Ausência de reação do condutor,Colisão traseira,highway,BR-153,168.42525979216626,9.919316563834837,1.0
39,5,34,10.115384615384615,107.40813250212422,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-155,114.70588235294117,12.82051282051282,1.0
44,0,92,10.539772727272727,86.61939980273617,Acessar a via sem observar a presença dos outros veículos,Saída de leito carroçável,highway,BR-156,133.33333333333331,0.0,1.0
523,70,542,11.646433882667152,106.57813646912525,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-158,128.18627450980392,13.38432122370937,1.0
1866,162,1943,9.710772315378774,101.05202538397653,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-163,168.25969341749322,8.681672025723474,1.0
306,34,362,11.386144310500327,101.56319549147018,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-174,139.72602739726028,11.11111111111111,1.0
79,14,105,12.85196905766526,98.59326979591172,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-210,202.56410256410254,17.72151898734177,1.0
452,96,454,16.03861700711957,105.4927084880506,Ausência de reação do condutor,Colisão traseira,highway,BR-222,144.40894568690098,21.238938053097346,1.0
212,33,270,13.498468712813883,103.05021385138977,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-226,122.54335260115607,15.566037735849056,1.0
1322,140,1506,12.713550678603628,95.04976881153604,Ausência de reação do condutor,Colisão traseira,highway,BR-230,175.33156498673742,10.59001512859304,1.0
605,76,710,14.01941087729858,99.1627587094377,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-232,155.12820512820514,12.561983471074381,1.0
233,31,267,13.898068669527897,97.48671308589337,Ausência de reação do condutor,Colisão traseira,highway,BR-235,142.94478527607362,13.304721030042918,1.0
202,61,284,15.171941115944477,119.71429246781825,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-242,119.52662721893492,30.198019801980198,1.0
248,50,350,12.966557628394314,122.19677115386999,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-251,120.3883495145631,20.161290322580644,1.0
82,4,119,11.90650406504065,93.41329819303898,Reação tardia ou ineficiente do condutor,Colisão transversal,highway,BR-259,115.49295774647888,4.878048780487805,1.0
1277,127,1549,11.638584716148678,110.92833307785016,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-262,141.26106194690266,9.945184025058731,1.0
1,0,0,0.0,119.34856731158126,Reação tardia ou ineficiente do condutor,Engavetamento,highway,BR-265,100.0,0.0,1.0
200,13,266,10.272857142857141,106.25481849030614,Ausência de reação do condutor,Saída de leito carroçável,highway,BR-267,105.82010582010581,6.5,1.0
35,9,46,16.698039215686272,120.62949860229081,Reação tardia ou ineficiente do condutor,Colisão transversal,highway,BR-272,112.90322580645163,25.71428571428571,1.0
1568,124,1803,9.229727248053624,110.46984892803307,Reação tardia ou ineficiente do condutor,Colisão traseira,highway,BR-277,173.83592017738357,7.908163265306123,1.0
675,41,816,9.610652557319224,114.84666164679199,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-280,163.43825665859563,6.074074074074074,1.0
991,77,1287,10.27828296269265,113.68649783479037,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,highway,BR-282,141.97707736389685,7.769929364278506,1.0
308,21,405,9.833706967635539,103.66110003480813,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,highway,BR-285,117.55725190839695,6.8181818181818175,1.0
